AgeGroup,Divorced,YearsTogether,Divorced,Province,Divorced
All ages,0.0,Under 1 year,0,N.L.,1.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,1.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,1.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,1.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,1.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,1.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,1.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,1.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,1.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,1.0
Under 20 years,0.0,1 year,0,P.E.I.,1.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,1.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,1.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,1.0
Under 20 years,0.0,1 year,0,P.E.I.,1.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,1.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,1.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,1.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,1.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,1.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,1.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,1.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,1.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,1.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,1.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
Under 20 years,0.0,1 year,0,P.E.I.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,1.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,1.0
20 to 24 years,0.0,2 years,0,N.S.,1.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,1.0
20 to 24 years,0.0,2 years,0,N.S.,1.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,1.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,1.0
20 to 24 years,0.0,2 years,1,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,1.0,2 years,0,N.S.,1.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,1.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,1.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,1.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,1.0
20 to 24 years,0.0,2 years,1,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,1.0
20 to 24 years,1.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,1.0,2 years,0,N.S.,1.0
20 to 24 years,1.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,1.0
20 to 24 years,1.0,2 years,0,N.S.,1.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,1,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,1.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,1,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,1.0,2 years,0,N.S.,0.0
20 to 24 years,1.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,1.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,1,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,1.0
20 to 24 years,0.0,2 years,0,N.S.,1.0
20 to 24 years,0.0,2 years,0,N.S.,1.0
20 to 24 years,1.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,1.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,1.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,1.0
20 to 24 years,0.0,2 years,0,N.S.,1.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,1.0,2 years,1,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,1.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,1.0
20 to 24 years,1.0,2 years,0,N.S.,0.0
20 to 24 years,0.0,2 years,0,N.S.,1.0
20 to 24 years,0.0,2 years,0,N.S.,0.0
25 to 29 years,1.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,1.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,1.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,1.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,1.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,1.0
25 to 29 years,0.0,3 years,0,N.B.,1.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,1.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,1.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,1.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,1,N.B.,0.0
25 to 29 years,1.0,3 years,0,N.B.,1.0
25 to 29 years,0.0,3 years,0,N.B.,1.0
25 to 29 years,0.0,3 years,0,N.B.,1.0
25 to 29 years,0.0,3 years,0,N.B.,1.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,1.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,1.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,1.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,1.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,1.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,1.0,3 years,0,N.B.,1.0
25 to 29 years,0.0,3 years,1,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,1.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,1.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,1.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,1,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,1,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,1,N.B.,1.0
25 to 29 years,0.0,3 years,1,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,1.0
25 to 29 years,0.0,3 years,0,N.B.,1.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,1,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,1.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,1,N.B.,0.0
25 to 29 years,1.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,1.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,0,N.B.,1.0
25 to 29 years,0.0,3 years,1,N.B.,1.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
25 to 29 years,0.0,3 years,1,N.B.,1.0
25 to 29 years,0.0,3 years,0,N.B.,1.0
25 to 29 years,0.0,3 years,0,N.B.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,1.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,1.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,1.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,1.0
30 to 34 years,1.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,1.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,1,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,1.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,1,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,1,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,1.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,1.0
30 to 34 years,0.0,4 years,0,Que.,1.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,1.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,1.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,1.0
30 to 34 years,0.0,4 years,0,Que.,1.0
30 to 34 years,0.0,4 years,1,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,1.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,1.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,1.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,1.0
30 to 34 years,0.0,4 years,1,Que.,1.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,1.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,1.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,1,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,1.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,1,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
30 to 34 years,0.0,4 years,0,Que.,0.0
35 to 39 years,0.0,5 years,0,Ont.,0.0
35 to 39 years,0.0,5 years,0,Ont.,0.0
35 to 39 years,0.0,5 years,1,Ont.,0.0
35 to 39 years,0.0,5 years,0,Ont.,0.0
35 to 39 years,0.0,5 years,0,Ont.,1.0
35 to 39 years,0.0,5 years,0,Ont.,1.0
35 to 39 years,0.0,5 years,0,Ont.,0.0
35 to 39 years,0.0,5 years,0,Ont.,0.0
35 to 39 years,0.0,5 years,0,Ont.,1.0
35 to 39 years,0.0,5 years,0,Ont.,0.0
35 to 39 years,1.0,5 years,0,Ont.,1.0
35 to 39 years,0.0,5 years,1,Ont.,1.0
35 to 39 years,0.0,5 years,0,Ont.,1.0
35 to 39 years,1.0,5 years,0,Ont.,0.0
35 to 39 years,0.0,5 years,0,Ont.,0.0
35 to 39 years,0.0,5 years,0,Ont.,1.0
35 to 39 years,0.0,5 years,0,Ont.,0.0
35 to 39 years,0.0,5 years,0,Ont.,0.0
35 to 39 years,1.0,5 years,1,Ont.,0.0
