AgeGroup,YearsTogether,Province,Divorced
Under 20 years,1 year,B.C.,0
Under 20 years,1 year,B.C.,0
Under 20 years,1 year,B.C.,0
Under 20 years,1 year,B.C.,0
Under 20 years,1 year,B.C.,0
Under 20 years,1 year,B.C.,0
Under 20 years,1 year,B.C.,0
Under 20 years,1 year,B.C.,0
Under 20 years,1 year,B.C.,0
Under 20 years,1 year,Y.T.,0
Under 20 years,1 year,Y.T.,0
Under 20 years,1 year,Y.T.,0
Under 20 years,1 year,Y.T.,0
Under 20 years,1 year,Y.T.,0
Under 20 years,1 year,Y.T.,0
Under 20 years,1 year,Y.T.,0
Under 20 years,1 year,Y.T.,0
Under 20 years,1 year,Y.T.,0
Under 20 years,1 year,Y.T.,0
Under 20 years,1 year,N.W.T.,0
Under 20 years,1 year,N.W.T.,0
Under 20 years,1 year,N.W.T.,0
Under 20 years,1 year,N.W.T.,1
Under 20 years,1 year,N.W.T.,0
Under 20 years,1 year,N.W.T.,0
Under 20 years,1 year,N.W.T.,0
Under 20 years,1 year,N.W.T.,0
Under 20 years,1 year,N.W.T.,0
Under 20 years,1 year,N.W.T.,0
Under 20 years,2 years,N.L.,1
Under 20 years,2 years,N.L.,0
Under 20 years,2 years,N.L.,0
Under 20 years,2 years,N.L.,0
Under 20 years,2 years,N.L.,1
Under 20 years,2 years,N.L.,0
Under 20 years,2 years,N.L.,0
Under 20 years,2 years,N.L.,0
Under 20 years,2 years,N.L.,0
Under 20 years,2 years,N.L.,0
Under 20 years,2 years,P.E.I.,1
Under 20 years,2 years,P.E.I.,0
Under 20 years,2 years,P.E.I.,0
Under 20 years,2 years,P.E.I.,0
Under 20 years,2 years,P.E.I.,1
Under 20 years,2 years,P.E.I.,0
Under 20 years,2 years,P.E.I.,0
Under 20 years,2 years,P.E.I.,0
Under 20 years,2 years,P.E.I.,0
Under 20 years,2 years,P.E.I.,0
Under 20 years,2 years,N.S.,0
Under 20 years,2 years,N.S.,0
Under 20 years,2 years,N.S.,0
Under 20 years,2 years,N.S.,0
Under 20 years,2 years,N.S.,1
Under 20 years,2 years,N.S.,0
Under 20 years,2 years,N.S.,0
Under 20 years,2 years,N.S.,0
Under 20 years,2 years,N.S.,0
Under 20 years,2 years,N.S.,0
Under 20 years,2 years,N.B.,0
Under 20 years,2 years,N.B.,1
Under 20 years,2 years,N.B.,0
Under 20 years,2 years,N.B.,0
Under 20 years,2 years,N.B.,0
Under 20 years,2 years,N.B.,0
Under 20 years,2 years,N.B.,0
Under 20 years,2 years,N.B.,0
Under 20 years,2 years,N.B.,0
Under 20 years,2 years,N.B.,0
Under 20 years,2 years,Que.,0
Under 20 years,2 years,Que.,1
Under 20 years,2 years,Que.,0
Under 20 years,2 years,Que.,0
Under 20 years,2 years,Que.,0
Under 20 years,2 years,Que.,0
Under 20 years,2 years,Que.,0
Under 20 years,2 years,Que.,0
Under 20 years,2 years,Que.,0
Under 20 years,2 years,Que.,0
Under 20 years,2 years,Ont.,0
Under 20 years,2 years,Ont.,0
Under 20 years,2 years,Ont.,0
Under 20 years,2 years,Ont.,0
Under 20 years,2 years,Ont.,0
Under 20 years,2 years,Ont.,0
Under 20 years,2 years,Ont.,0
Under 20 years,2 years,Ont.,0
Under 20 years,2 years,Ont.,0
Under 20 years,2 years,Ont.,0
Under 20 years,2 years,Man.,0
Under 20 years,2 years,Man.,0
Under 20 years,2 years,Man.,0
Under 20 years,2 years,Man.,0
Under 20 years,2 years,Man.,0
Under 20 years,2 years,Man.,0
Under 20 years,2 years,Man.,0
Under 20 years,2 years,Man.,0
Under 20 years,2 years,Man.,0
Under 20 years,2 years,Man.,0
Under 20 years,2 years,Sask.,0
Under 20 years,2 years,Sask.,0
Under 20 years,2 years,Sask.,1
Under 20 years,2 years,Sask.,0
Under 20 years,2 years,Sask.,0
Under 20 years,2 years,Sask.,0
Under 20 years,2 years,Sask.,0
Under 20 years,2 years,Sask.,1
Under 20 years,2 years,Sask.,0
Under 20 years,2 years,Sask.,0
Under 20 years,2 years,Alta.,0
Under 20 years,2 years,Alta.,0
Under 20 years,2 years,Alta.,0
Under 20 years,2 years,Alta.,0
Under 20 years,2 years,Alta.,0
Under 20 years,2 years,Alta.,0
Under 20 years,2 years,Alta.,0
Under 20 years,2 years,Alta.,0
Under 20 years,2 years,Alta.,0
Under 20 years,2 years,Alta.,0
Under 20 years,2 years,B.C.,0
Under 20 years,2 years,B.C.,0
Under 20 years,2 years,B.C.,0
Under 20 years,2 years,B.C.,0
Under 20 years,2 years,B.C.,1
Under 20 years,2 years,B.C.,0
Under 20 years,2 years,B.C.,0
Under 20 years,2 years,B.C.,0
Under 20 years,2 years,B.C.,0
Under 20 years,2 years,B.C.,0
Under 20 years,2 years,Y.T.,0
Under 20 years,2 years,Y.T.,1
Under 20 years,2 years,Y.T.,0
Under 20 years,2 years,Y.T.,0
Under 20 years,2 years,Y.T.,0
Under 20 years,2 years,Y.T.,0
Under 20 years,2 years,Y.T.,0
Under 20 years,2 years,Y.T.,0
Under 20 years,2 years,Y.T.,0
Under 20 years,2 years,Y.T.,0
Under 20 years,2 years,N.W.T.,0
Under 20 years,2 years,N.W.T.,0
Under 20 years,2 years,N.W.T.,0
Under 20 years,2 years,N.W.T.,0
Under 20 years,2 years,N.W.T.,0
Under 20 years,2 years,N.W.T.,0
Under 20 years,2 years,N.W.T.,0
Under 20 years,2 years,N.W.T.,0
Under 20 years,2 years,N.W.T.,0
Under 20 years,2 years,N.W.T.,0
Under 20 years,3 years,N.L.,0
Under 20 years,3 years,N.L.,0
Under 20 years,3 years,N.L.,0
Under 20 years,3 years,N.L.,0
Under 20 years,3 years,N.L.,1
Under 20 years,3 years,N.L.,0
Under 20 years,3 years,N.L.,0
Under 20 years,3 years,N.L.,0
Under 20 years,3 years,N.L.,0
Under 20 years,3 years,N.L.,0
Under 20 years,3 years,P.E.I.,0
Under 20 years,3 years,P.E.I.,0
Under 20 years,3 years,P.E.I.,0
Under 20 years,3 years,P.E.I.,0
Under 20 years,3 years,P.E.I.,0
Under 20 years,3 years,P.E.I.,0
Under 20 years,3 years,P.E.I.,0
Under 20 years,3 years,P.E.I.,0
Under 20 years,3 years,P.E.I.,0
Under 20 years,3 years,P.E.I.,0
Under 20 years,3 years,N.S.,1
Under 20 years,3 years,N.S.,0
Under 20 years,3 years,N.S.,0
Under 20 years,3 years,N.S.,0
Under 20 years,3 years,N.S.,0
Under 20 years,3 years,N.S.,1
Under 20 years,3 years,N.S.,0
Under 20 years,3 years,N.S.,0
Under 20 years,3 years,N.S.,0
Under 20 years,3 years,N.S.,0
Under 20 years,3 years,N.B.,0
Under 20 years,3 years,N.B.,0
Under 20 years,3 years,N.B.,0
Under 20 years,3 years,N.B.,1
Under 20 years,3 years,N.B.,0
Under 20 years,3 years,N.B.,1
Under 20 years,3 years,N.B.,1
Under 20 years,3 years,N.B.,1
Under 20 years,3 years,N.B.,0
Under 20 years,3 years,N.B.,1
Under 20 years,3 years,Que.,0
Under 20 years,3 years,Que.,0
Under 20 years,3 years,Que.,0
Under 20 years,3 years,Que.,0
Under 20 years,3 years,Que.,0
Under 20 years,3 years,Que.,0
Under 20 years,3 years,Que.,0
Under 20 years,3 years,Que.,0
Under 20 years,3 years,Que.,0
Under 20 years,3 years,Que.,0
Under 20 years,3 years,Ont.,0
Under 20 years,3 years,Ont.,0
Under 20 years,3 years,Ont.,0
Under 20 years,3 years,Ont.,0
Under 20 years,3 years,Ont.,1
Under 20 years,3 years,Ont.,0
Under 20 years,3 years,Ont.,0
Under 20 years,3 years,Ont.,0
Under 20 years,3 years,Ont.,0
Under 20 years,3 years,Ont.,0
Under 20 years,3 years,Man.,0
Under 20 years,3 years,Man.,0
Under 20 years,3 years,Man.,0
Under 20 years,3 years,Man.,0
Under 20 years,3 years,Man.,0
Under 20 years,3 years,Man.,0
Under 20 years,3 years,Man.,0
Under 20 years,3 years,Man.,0
Under 20 years,3 years,Man.,0
Under 20 years,3 years,Man.,0
Under 20 years,3 years,Sask.,0
Under 20 years,3 years,Sask.,0
Under 20 years,3 years,Sask.,0
Under 20 years,3 years,Sask.,0
Under 20 years,3 years,Sask.,0
Under 20 years,3 years,Sask.,0
Under 20 years,3 years,Sask.,0
Under 20 years,3 years,Sask.,1
Under 20 years,3 years,Sask.,0
Under 20 years,3 years,Sask.,0
Under 20 years,3 years,Alta.,0
Under 20 years,3 years,Alta.,0
Under 20 years,3 years,Alta.,0
Under 20 years,3 years,Alta.,0
Under 20 years,3 years,Alta.,1
Under 20 years,3 years,Alta.,0
Under 20 years,3 years,Alta.,0
Under 20 years,3 years,Alta.,0
Under 20 years,3 years,Alta.,0
Under 20 years,3 years,Alta.,1
Under 20 years,3 years,B.C.,0
Under 20 years,3 years,B.C.,0
Under 20 years,3 years,B.C.,0
Under 20 years,3 years,B.C.,0
Under 20 years,3 years,B.C.,0
Under 20 years,3 years,B.C.,0
Under 20 years,3 years,B.C.,0
Under 20 years,3 years,B.C.,1
Under 20 years,3 years,B.C.,0
Under 20 years,3 years,B.C.,0
Under 20 years,3 years,Y.T.,1
Under 20 years,3 years,Y.T.,0
Under 20 years,3 years,Y.T.,0
Under 20 years,3 years,Y.T.,0
Under 20 years,3 years,Y.T.,0
Under 20 years,3 years,Y.T.,0
Under 20 years,3 years,Y.T.,0
Under 20 years,3 years,Y.T.,0
Under 20 years,3 years,Y.T.,0
Under 20 years,3 years,Y.T.,0
Under 20 years,3 years,N.W.T.,0
Under 20 years,3 years,N.W.T.,0
Under 20 years,3 years,N.W.T.,0
Under 20 years,3 years,N.W.T.,0
Under 20 years,3 years,N.W.T.,0
Under 20 years,3 years,N.W.T.,0
Under 20 years,3 years,N.W.T.,1
Under 20 years,3 years,N.W.T.,0
Under 20 years,3 years,N.W.T.,0
Under 20 years,3 years,N.W.T.,0
Under 20 years,4 years,N.L.,1
Under 20 years,4 years,N.L.,0
Under 20 years,4 years,N.L.,0
Under 20 years,4 years,N.L.,0
Under 20 years,4 years,N.L.,0
Under 20 years,4 years,N.L.,0
Under 20 years,4 years,N.L.,0
Under 20 years,4 years,N.L.,0
Under 20 years,4 years,N.L.,0
Under 20 years,4 years,N.L.,0
Under 20 years,4 years,P.E.I.,0
Under 20 years,4 years,P.E.I.,1
Under 20 years,4 years,P.E.I.,0
Under 20 years,4 years,P.E.I.,0
Under 20 years,4 years,P.E.I.,0
Under 20 years,4 years,P.E.I.,0
Under 20 years,4 years,P.E.I.,1
Under 20 years,4 years,P.E.I.,0
Under 20 years,4 years,P.E.I.,0
Under 20 years,4 years,P.E.I.,0
Under 20 years,4 years,N.S.,0
Under 20 years,4 years,N.S.,0
Under 20 years,4 years,N.S.,0
Under 20 years,4 years,N.S.,0
Under 20 years,4 years,N.S.,0
Under 20 years,4 years,N.S.,0
Under 20 years,4 years,N.S.,0
Under 20 years,4 years,N.S.,0
Under 20 years,4 years,N.S.,0
Under 20 years,4 years,N.S.,0
Under 20 years,4 years,N.B.,0
Under 20 years,4 years,N.B.,0
Under 20 years,4 years,N.B.,0
Under 20 years,4 years,N.B.,0
Under 20 years,4 years,N.B.,0
Under 20 years,4 years,N.B.,0
Under 20 years,4 years,N.B.,0
Under 20 years,4 years,N.B.,0
Under 20 years,4 years,N.B.,0
Under 20 years,4 years,N.B.,1
Under 20 years,4 years,Que.,0
Under 20 years,4 years,Que.,0
Under 20 years,4 years,Que.,0
Under 20 years,4 years,Que.,0
Under 20 years,4 years,Que.,0
Under 20 years,4 years,Que.,0
Under 20 years,4 years,Que.,1
Under 20 years,4 years,Que.,0
Under 20 years,4 years,Que.,0
Under 20 years,4 years,Que.,0
Under 20 years,4 years,Ont.,0
Under 20 years,4 years,Ont.,0
Under 20 years,4 years,Ont.,0
Under 20 years,4 years,Ont.,0
Under 20 years,4 years,Ont.,0
Under 20 years,4 years,Ont.,0
Under 20 years,4 years,Ont.,0
Under 20 years,4 years,Ont.,0
Under 20 years,4 years,Ont.,0
Under 20 years,4 years,Ont.,1
Under 20 years,4 years,Man.,0
Under 20 years,4 years,Man.,0
Under 20 years,4 years,Man.,0
Under 20 years,4 years,Man.,0
Under 20 years,4 years,Man.,0
Under 20 years,4 years,Man.,1
Under 20 years,4 years,Man.,0
Under 20 years,4 years,Man.,0
Under 20 years,4 years,Man.,0
Under 20 years,4 years,Man.,0
Under 20 years,4 years,Sask.,1
Under 20 years,4 years,Sask.,0
Under 20 years,4 years,Sask.,1
Under 20 years,4 years,Sask.,0
Under 20 years,4 years,Sask.,0
Under 20 years,4 years,Sask.,0
Under 20 years,4 years,Sask.,1
Under 20 years,4 years,Sask.,0
Under 20 years,4 years,Sask.,0
Under 20 years,4 years,Sask.,0
Under 20 years,4 years,Alta.,0
Under 20 years,4 years,Alta.,0
Under 20 years,4 years,Alta.,0
Under 20 years,4 years,Alta.,0
Under 20 years,4 years,Alta.,1
Under 20 years,4 years,Alta.,0
Under 20 years,4 years,Alta.,0
Under 20 years,4 years,Alta.,0
Under 20 years,4 years,Alta.,0
Under 20 years,4 years,Alta.,0
Under 20 years,4 years,B.C.,0
Under 20 years,4 years,B.C.,0
Under 20 years,4 years,B.C.,0
Under 20 years,4 years,B.C.,0
Under 20 years,4 years,B.C.,0
Under 20 years,4 years,B.C.,0
Under 20 years,4 years,B.C.,0
Under 20 years,4 years,B.C.,0
Under 20 years,4 years,B.C.,0
Under 20 years,4 years,B.C.,0
Under 20 years,4 years,Y.T.,0
Under 20 years,4 years,Y.T.,0
Under 20 years,4 years,Y.T.,1
Under 20 years,4 years,Y.T.,0
Under 20 years,4 years,Y.T.,1
Under 20 years,4 years,Y.T.,0
Under 20 years,4 years,Y.T.,0
Under 20 years,4 years,Y.T.,0
Under 20 years,4 years,Y.T.,0
Under 20 years,4 years,Y.T.,0
Under 20 years,4 years,N.W.T.,0
Under 20 years,4 years,N.W.T.,0
Under 20 years,4 years,N.W.T.,0
Under 20 years,4 years,N.W.T.,0
Under 20 years,4 years,N.W.T.,0
Under 20 years,4 years,N.W.T.,0
Under 20 years,4 years,N.W.T.,0
Under 20 years,4 years,N.W.T.,0
Under 20 years,4 years,N.W.T.,0
Under 20 years,4 years,N.W.T.,0
Under 20 years,5 years,N.L.,0
Under 20 years,5 years,N.L.,0
Under 20 years,5 years,N.L.,0
Under 20 years,5 years,N.L.,0
Under 20 years,5 years,N.L.,0
Under 20 years,5 years,N.L.,0
Under 20 years,5 years,N.L.,0
Under 20 years,5 years,N.L.,1
Under 20 years,5 years,N.L.,0
Under 20 years,5 years,N.L.,0
Under 20 years,5 years,P.E.I.,0
Under 20 years,5 years,P.E.I.,0
Under 20 years,5 years,P.E.I.,0
Under 20 years,5 years,P.E.I.,0
Under 20 years,5 years,P.E.I.,0
Under 20 years,5 years,P.E.I.,0
Under 20 years,5 years,P.E.I.,0
Under 20 years,5 years,P.E.I.,0
Under 20 years,5 years,P.E.I.,0
Under 20 years,5 years,P.E.I.,0
Under 20 years,5 years,N.S.,0
Under 20 years,5 years,N.S.,0
Under 20 years,5 years,N.S.,0
Under 20 years,5 years,N.S.,0
Under 20 years,5 years,N.S.,0
Under 20 years,5 years,N.S.,0
Under 20 years,5 years,N.S.,0
Under 20 years,5 years,N.S.,0
Under 20 years,5 years,N.S.,0
Under 20 years,5 years,N.S.,0
Under 20 years,5 years,N.B.,0
Under 20 years,5 years,N.B.,0
Under 20 years,5 years,N.B.,0
Under 20 years,5 years,N.B.,0
Under 20 years,5 years,N.B.,0
Under 20 years,5 years,N.B.,0
Under 20 years,5 years,N.B.,0
Under 20 years,5 years,N.B.,0
Under 20 years,5 years,N.B.,0
Under 20 years,5 years,N.B.,0
Under 20 years,5 years,Que.,0
Under 20 years,5 years,Que.,0
Under 20 years,5 years,Que.,0
Under 20 years,5 years,Que.,0
Under 20 years,5 years,Que.,0
Under 20 years,5 years,Que.,0
Under 20 years,5 years,Que.,0
Under 20 years,5 years,Que.,0
Under 20 years,5 years,Que.,0
Under 20 years,5 years,Que.,0
Under 20 years,5 years,Ont.,0
Under 20 years,5 years,Ont.,0
Under 20 years,5 years,Ont.,0
Under 20 years,5 years,Ont.,0
Under 20 years,5 years,Ont.,0
Under 20 years,5 years,Ont.,0
Under 20 years,5 years,Ont.,0
Under 20 years,5 years,Ont.,0
Under 20 years,5 years,Ont.,0
Under 20 years,5 years,Ont.,0
Under 20 years,5 years,Man.,0
Under 20 years,5 years,Man.,0
Under 20 years,5 years,Man.,0
Under 20 years,5 years,Man.,0
Under 20 years,5 years,Man.,0
Under 20 years,5 years,Man.,0
Under 20 years,5 years,Man.,0
Under 20 years,5 years,Man.,1
Under 20 years,5 years,Man.,0
Under 20 years,5 years,Man.,1
Under 20 years,5 years,Sask.,0
Under 20 years,5 years,Sask.,0
Under 20 years,5 years,Sask.,0
Under 20 years,5 years,Sask.,0
Under 20 years,5 years,Sask.,1
Under 20 years,5 years,Sask.,0
Under 20 years,5 years,Sask.,0
Under 20 years,5 years,Sask.,0
Under 20 years,5 years,Sask.,0
Under 20 years,5 years,Sask.,0
Under 20 years,5 years,Alta.,0
Under 20 years,5 years,Alta.,1
Under 20 years,5 years,Alta.,1
Under 20 years,5 years,Alta.,0
Under 20 years,5 years,Alta.,0
Under 20 years,5 years,Alta.,0
Under 20 years,5 years,Alta.,1
Under 20 years,5 years,Alta.,0
Under 20 years,5 years,Alta.,0
Under 20 years,5 years,Alta.,1
Under 20 years,5 years,B.C.,1
Under 20 years,5 years,B.C.,1
Under 20 years,5 years,B.C.,0
Under 20 years,5 years,B.C.,0
Under 20 years,5 years,B.C.,0
Under 20 years,5 years,B.C.,0
Under 20 years,5 years,B.C.,0
Under 20 years,5 years,B.C.,0
Under 20 years,5 years,B.C.,1
Under 20 years,5 years,B.C.,1
Under 20 years,5 years,Y.T.,1
Under 20 years,5 years,Y.T.,0
Under 20 years,5 years,Y.T.,0
Under 20 years,5 years,Y.T.,0
Under 20 years,5 years,Y.T.,0
Under 20 years,5 years,Y.T.,0
Under 20 years,5 years,Y.T.,0
Under 20 years,5 years,Y.T.,0
Under 20 years,5 years,Y.T.,0
Under 20 years,5 years,Y.T.,0
Under 20 years,5 years,N.W.T.,0
Under 20 years,5 years,N.W.T.,0
Under 20 years,5 years,N.W.T.,0
Under 20 years,5 years,N.W.T.,0
Under 20 years,5 years,N.W.T.,0
Under 20 years,5 years,N.W.T.,0
Under 20 years,5 years,N.W.T.,0
Under 20 years,5 years,N.W.T.,0
Under 20 years,5 years,N.W.T.,0
Under 20 years,5 years,N.W.T.,0
Under 20 years,6 years,N.L.,0
Under 20 years,6 years,N.L.,0
Under 20 years,6 years,N.L.,0
Under 20 years,6 years,N.L.,0
Under 20 years,6 years,N.L.,0
Under 20 years,6 years,N.L.,0
Under 20 years,6 years,N.L.,0
Under 20 years,6 years,N.L.,0
Under 20 years,6 years,N.L.,0
Under 20 years,6 years,N.L.,0
Under 20 years,6 years,P.E.I.,0
Under 20 years,6 years,P.E.I.,0
Under 20 years,6 years,P.E.I.,0
Under 20 years,6 years,P.E.I.,0
Under 20 years,6 years,P.E.I.,0
Under 20 years,6 years,P.E.I.,0
Under 20 years,6 years,P.E.I.,0
Under 20 years,6 years,P.E.I.,0
Under 20 years,6 years,P.E.I.,0
Under 20 years,6 years,P.E.I.,0
Under 20 years,6 years,N.S.,0
Under 20 years,6 years,N.S.,0
Under 20 years,6 years,N.S.,0
Under 20 years,6 years,N.S.,0
